Nr,Artikel,Nomen
347,die,Großeltern
348,die,Großmutter
349,die,Grundschule
350,die,Gruppe
351,die,Halbpension
352,die,Halle
353,die,Haltestelle
354,die,Hand
355,die,Hausaufgabe
356,die,Hausfrau
357,die,Heimat
358,die,Heizung
359,die,Hilfe
360,die,Hose
361,die,Idee
362,die,Industrie
363,die,Information
364,die,Jacke
365,die,Jugendherberge
366,die,Jugendliche
367,die,Küche
368,die,Kündigung
369,die,Kamera
370,die,Kanne
371,die,Karte
372,die,Kartoffel
373,die,Kasse
374,die,Kassette
375,die,Katze
376,die,Kenntnisse
377,die,Kette
378,die,Kirche
379,die,Klasse
380,die,Kleidung
381,die,Kneipe
382,die,Kollegin
383,die,Kontrolle
384,die,Kosmetik
385,die,Krankenkasse
386,die,Krankheit
387,die,Kreditkarte
388,die,Kreuzung
389,die,Kunde
390,die,Kundin
391,die,Lösung
392,die,Lampe
393,die,Landschaft
394,die,Lebensmittel
395,die,Lehre
396,die,Lehrerin
397,die,Leute
398,der,Lohn
399,die,Luft
400,die,Lust
401,die,Möbel
402,die,Mülltonne
403,die,Maschine
404,die,Mehrwertsteuer
405,die,Meinung
406,die,Menge
407,die,Miete
408,die,Milch
409,die,Minute
410,die,Mitte
411,die,Mitteilung
412,die,Mittelschule
413,die,Mode
414,die,Musik
415,die,Mutter
416,die,Nähe
417,die,Nachbarin
418,die,Nacht
419,die,Natur
420,die,Note
421,die,Notiz
422,die,Nudel
423,die,Nummer
424,die,Oma
425,die,Operation
426,die,Orange
427,die,Ordnung
428,die,Panne
429,die,Partei
430,die,Partnerin
431,die,Party
432,die,Pause
433,die,Pension
434,die,Plastik
435,die,Polizei
436,die,Portion
437,die,Post
438,die,Postleitzahl
439,die,Prüfung
440,die,Praxis
441,die,Qualität
442,die,Quittung
443,die,Raucherin
444,die,Realschule
445,die,Rechnung
446,die,Reinigung
447,die,Reise
448,die,Reparatur
449,die,Rezeption
450,die,Rose
451,die,S-Bahn
452,die,Sache
453,die,Schülerin
454,die,Scheckkarte
455,die,Schokolade
456,die,Schule
457,die,Schwester
458,die,See
459,die,Sehenswürdigkeit
460,die,Seife
461,die,Sekretärin
462,die,Sekunde
463,die,Sendung
464,die,Sonne
465,die,Sorge
466,die,Spülmaschine
467,die,Speisekarte
468,die,Sprache
469,die,Sprachschule
470,die,Sprechstunde
471,die,Stadt
472,die,Steuer
473,die,Straße
474,die, Straßenbahn
475,die, Studentin
476,die,Stunde
477,die,Suppe
478,die,Tür
479,die,Tüte
480,die,Tankstelle
481,die,Tasche
482,die,Tasse
483,die,Tochter
484,die,Toilette
485,die,Tomate
486,die,Treppe
487,die,U-Bahn
488,die,Uhr
489,die,Universität
490,die,Unterhaltung
491,die,Unterkunft
492,die,Unterschrift
493,die, Untersuchung
494,die,Verbindung
495,die,Verkäuferin
496,die,Versicherung
497,die,Verspätung
498,die,Volksschule
499,die,Vorsicht
500,die,Vorwahl
501,die,Wäsche
502,die,Welt
503,die,Werkstatt
504,die,Wirtschaft
505,die,Woche
506,die,Wohnung
507,die,Wolke
508,die,Wurst
509,die,Zahl
510,die,Zeit
511,die,Zeitschrift
512,die,Zeitung
513,die,Zigarette
514,die,Zitrone
515,das,Alter
516,das,Angebot
517,das,Appartement
518,das,Auge
519,das,Ausland
520,das,Auto
521,das,Büro
522,das,Baby
523,das,Bad
524,das,Bein
525,das,Beispiel
526,das,Benzin
527,das,Bett
528,das,Bier
529,das,Bild
530,das,Blatt
531,das,Blut
532,das,Brötchen
533,das,Brot
534,das,Buch
535,das,Cafe
536,das,Dach
537,das,Datum
538,das,Ding
539,das,Doppelzimmer
540,das,Dorf
541,das,Ei
542,das,Einzelzimmer
543,das,Eis
544,das,Ende
545,das,Erdgeschoss
546,das,Ergebnis
547,das,Essen
548,das,Fahrrad
549,das,Fax
550,das,Fenster
551,das,Fernsehgerät
552,das,Fest
553,das,Feuer
554,das,Feuerzeug
555,das,Fieber
556,das,Fleisch
557,das,Flugzeug
558,das,Formular
559,das,Foto
560,das,Frühjahr
561,das,Frühstück
562,das,Fundbüro
563,das,Gas
564,das,Geburtsjahr
565,das,Gegenteil
566,das,Geld
567,das,Gemüse
568,das,Gepäck
569,das,Gericht
570,das,Geschäft
571,das,Geschenk
572,das,Geschirr
573,das,Gesicht
574,das,Gespräch
575,das,Getränk
576,das,Gewicht
577,das,Gewitter
578,das,Glück
579,das,Glas
580,das,Gleis
581,das,Guthaben
582,das,Gymnasium
583,das,Hähnchen
584,das,Haar
585,das,Handtuch
586,das,Handy
587,das,Haus
588,das,Hemd
589,das,Herz
590,das,Hobby
